departure location: 48-885 or 906-949
departure station: 28-420 or 431-970
departure platform: 45-112 or 129-967
departure track: 41-447 or 459-956
departure date: 36-913 or 934-962
departure time: 34-792 or 815-952
arrival location: 35-644 or 657-973
arrival station: 45-550 or 563-970
arrival platform: 41-533 or 539-973
arrival track: 33-729 or 745-967
class: 36-516 or 523-956
duration: 37-94 or 108-960
price: 35-669 or 678-974
route: 37-834 or 847-968
row: 35-295 or 312-956
seat: 35-563 or 588-951
train: 29-210 or 221-968
type: 50-853 or 877-958
wagon: 28-341 or 353-971
zone: 43-413 or 421-962

your ticket:
163,151,149,67,71,79,109,61,83,137,89,59,53,179,73,157,139,173,131,167

nearby tickets:
850,523,269,266,158,934,526,172,504,475,941,65,179,269,197,130,405,625,471,675
157,110,437,692,556,370,85,365,460,709,336,174,940,825,194,485,436,383,714,292
368,277,514,290,164,624,354,688,480,386,746,363,294,668,618,320,486,324,890,83
515,208,942,4,948,785,280,635,783,473,907,681,533,92,282,76,528,323,395,239
266,757,435,819,140,272,589,483,665,722,773,66,191,232,701,564,260,393,436,790
459,830,935,778,479,191,152,390,180,851,483,538,488,695,94,56,357,293,237,495
153,204,475,146,699,316,790,702,163,63,2,745,512,592,191,153,288,282,72,210
937,199,602,685,931,374,243,618,81,356,81,712,684,669,620,238,153,389,468,882
729,318,154,644,762,147,935,699,589,338,92,465,91,92,265,812,949,86,358,226
83,410,64,88,406,292,76,152,712,232,361,267,668,865,408,602,243,411,729,503
657,550,819,514,238,884,133,819,678,910,859,791,334,175,764,270,747,503,524,152
199,466,756,201,705,631,391,375,91,174,61,151,936,512,155,641,259,635,66,522
225,641,146,466,68,482,482,714,273,992,51,177,635,641,696,183,223,832,275,592
725,489,474,523,726,158,909,50,595,85,770,823,542,431,756,612,538,472,246,143
747,315,412,90,256,668,433,441,909,756,1,502,322,374,197,249,749,90,725,911
182,831,823,543,397,153,529,341,210,220,696,772,659,369,412,171,136,506,163,362
705,754,548,254,256,541,202,176,224,131,654,907,385,371,400,636,503,824,532,81
693,616,434,324,466,529,541,640,173,596,720,189,159,134,654,640,748,715,80,750
467,210,166,337,204,142,512,109,598,949,731,755,160,83,130,129,269,679,270,237
91,769,821,55,339,197,275,129,242,135,216,853,941,485,906,600,242,412,242,473
539,771,746,686,726,197,191,609,686,533,0,196,330,533,263,780,726,508,593,386
777,828,255,792,156,608,677,614,201,621,563,681,616,52,817,757,782,706,358,936
179,68,773,774,423,512,473,375,686,714,820,605,432,605,617,475,540,258,244,625
370,631,472,131,530,211,239,396,280,466,789,64,132,616,726,721,234,89,135,377
76,637,82,604,398,55,728,389,682,533,525,287,444,193,488,61,159,716,323,900
481,175,767,167,789,830,642,385,465,847,666,170,759,407,284,267,854,543,761,816
494,272,246,529,620,238,720,525,853,109,550,88,754,630,444,518,380,483,722,679
167,138,408,62,685,374,134,773,682,0,833,539,54,706,760,291,783,488,479,360
169,229,622,76,440,823,360,831,75,607,766,411,368,201,248,514,574,190,439,139
368,438,227,240,755,546,264,62,68,751,745,351,140,372,502,709,280,949,173,76
980,643,470,87,334,549,487,444,627,477,68,330,165,715,194,544,678,160,173,946
319,682,760,481,140,312,485,158,678,815,826,522,66,332,947,755,270,627,758,233
754,64,772,533,395,399,600,143,384,499,89,553,400,911,539,209,91,334,707,111
224,177,729,270,260,981,324,66,725,78,332,330,680,176,763,627,205,395,259,390
251,358,913,849,60,285,780,239,275,254,181,476,270,664,383,634,63,143,127,384
729,410,238,251,333,236,199,907,636,207,81,118,79,81,254,942,826,389,710,382
723,745,91,934,194,682,879,774,91,180,319,601,784,593,497,129,633,494,819,988
548,162,330,178,937,540,711,184,470,66,719,411,769,270,614,324,502,562,374,934
662,288,129,292,275,762,78,240,833,516,877,158,496,219,169,134,593,753,259,488
145,433,746,152,379,67,526,815,936,207,85,396,133,359,398,199,733,63,831,70
638,613,697,699,719,398,356,884,321,534,822,282,548,774,240,588,594,279,611,256
8,59,369,322,784,497,186,69,721,499,172,365,141,433,262,69,789,295,948,491
447,50,216,711,79,635,712,245,717,62,89,162,194,276,227,624,133,167,192,314
270,282,467,112,657,258,633,326,183,687,518,378,154,327,589,604,263,319,337,596
357,828,182,194,607,664,470,112,546,90,489,194,609,882,912,274,626,527,454,820
337,785,270,280,523,378,438,335,699,186,817,99,230,271,723,830,502,707,762,503
73,162,723,223,601,194,637,82,403,791,770,409,817,82,938,243,760,674,516,608
167,947,705,501,228,287,460,482,412,832,469,549,312,703,290,623,949,909,397,452
550,325,330,628,981,818,599,88,81,848,686,264,614,152,725,591,135,74,498,437
288,495,360,688,174,475,290,776,76,704,209,704,294,594,108,213,480,498,192,52
781,946,15,178,481,185,381,847,783,753,848,473,881,288,233,768,512,776,661,784
396,167,405,849,899,506,749,546,878,515,786,231,361,472,725,609,459,334,191,529
445,68,182,133,195,513,788,822,218,604,936,226,276,206,510,751,469,725,314,779
398,132,152,665,758,153,353,131,407,502,671,50,386,768,227,335,393,821,480,664
825,413,356,689,936,382,227,440,223,187,747,827,169,506,756,162,481,549,828,553
642,264,83,328,501,55,317,172,611,473,437,725,244,621,755,475,711,733,362,716
602,154,227,602,492,509,879,277,239,140,272,826,434,767,946,357,656,688,399,906
612,77,615,787,364,83,246,878,884,76,500,702,512,83,592,286,896,132,502,280
910,611,720,171,161,660,613,785,689,294,613,514,729,449,288,774,403,465,339,83
787,936,697,490,608,393,321,132,60,229,820,469,272,743,750,474,763,443,226,616
398,880,148,410,941,658,223,443,477,284,405,776,144,505,286,788,143,878,338,565
112,602,716,509,152,512,704,185,75,136,607,369,63,495,723,179,83,680,426,88
690,327,550,947,546,522,728,175,231,382,165,262,151,688,776,498,710,184,792,171
73,765,593,827,766,642,521,108,145,848,685,662,688,393,708,92,52,597,224,667
679,53,695,63,274,277,536,718,255,817,293,683,512,328,481,495,91,135,549,627
246,197,617,222,457,707,364,483,936,375,230,255,189,682,686,710,260,728,705,182
404,81,615,502,486,81,594,977,907,935,817,487,152,508,83,705,89,179,321,437
238,140,126,766,380,885,338,183,389,711,610,210,833,178,173,748,782,251,129,834
288,481,80,773,499,716,85,518,883,318,445,143,765,776,250,531,386,247,321,755
934,500,634,781,288,536,339,779,83,946,329,267,511,134,693,476,486,496,234,528
528,542,258,260,487,390,92,670,376,359,659,146,490,257,63,319,295,313,239,747
353,411,362,208,244,388,321,621,634,129,408,235,635,689,286,238,550,520,563,51
327,178,71,381,826,820,598,276,439,277,404,400,714,553,190,314,592,388,154,912
515,851,487,477,374,939,498,681,312,492,460,447,112,244,731,506,439,82,246,541
881,603,388,248,773,157,353,708,515,53,539,237,825,771,77,453,328,93,111,613
65,189,237,185,881,750,447,130,663,729,235,785,789,645,110,183,331,274,210,827
266,501,450,371,465,545,323,64,54,593,143,748,318,66,818,222,57,502,228,201
907,474,431,815,675,468,191,689,136,541,181,153,668,513,141,397,370,880,725,378
935,605,757,380,745,849,591,764,395,74,807,225,853,822,259,697,476,234,285,50
154,324,398,360,782,272,56,175,153,791,986,198,785,492,509,467,374,373,391,636
792,913,271,375,945,163,764,498,591,661,607,913,130,462,502,198,333,746,554,73
657,149,499,701,638,788,820,490,147,144,669,197,149,68,462,162,615,570,197,137
259,322,626,288,908,341,489,384,164,357,486,246,777,698,822,432,849,850,740,698
