247058281022548, 192766389934431, 81827832165583 @ 89, 450, 382
238266575479152, 277109802279281, 177024891330353 @ 115, 8, 158
261045702761260, 122483307789279, 8764899903055 @ 80, 200, 439
246860868714041, 315426953233224, 114394748213725 @ 52, 183, 154
199589407344780, 211339682702979, 335160906875043 @ 154, 27, 48
378295953927301, 275822053527777, 363051408597745 @ -42, -44, 18
216808501718962, 320900555181951, 140226424309993 @ 156, -78, 231
320090763092742, 341859197229861, 259767219765101 @ -107, -120, -130
188913644651346, 225895394081002, 257931454044175 @ 177, 35, 100
409922390170516, 397304091816627, 458527926049435 @ -82, -179, -98
248206392210472, 259058654823171, 106523320269907 @ 91, 107, 292
424353049393221, 535244459886927, 538362859962300 @ -228, -474, -499
331403875535416, 251387720558493, 341054470505167 @ -13, 5, -18
262380268693036, 315338695788597, 127831091036395 @ -27, 49, 132
369642228130440, 377748266090704, 133395674361080 @ -117, -181, 249
308189027807680, 211697771295347, 399247514461650 @ 35, 26, -21
500538546479421, 387558712371660, 314313664211633 @ -168, -165, 78
343955016169540, 67057865618613, 388243541059003 @ 9, 149, 28
297334926097840, 323426893785707, 295706568056495 @ -79, -59, -351
220840315666536, 250180012950999, 154123397798627 @ 177, 177, 135
251197993075756, 272976272825607, 7321620625675 @ 80, 90, 594
343594569711520, 328302091097515, 199447258862019 @ -151, -85, 56
249088405889170, 335267711859759, 172242450943453 @ 40, -70, -395
343891183154056, 256287324027567, 433903893573655 @ -5, -22, -62
287818460181040, 321350905815143, 154701837536123 @ -136, -16, 23
238182808853160, 359567097551623, 210477500476219 @ 123, -190, -110
304548783864120, 276973916784335, 272875119051907 @ -11, 5, -20
243883440282436, 337560645217251, 141809724233383 @ 97, -100, 42
262724944221796, 379214805087171, 131005117089703 @ -118, -551, -15
257894011627465, 384155594745849, 243963779794381 @ 70, -220, -34
302182250275896, 289437425806215, 199042266826891 @ -93, 54, -20
221853805382803, 287329587979869, 140347408655593 @ 194, 108, 142
257197874518416, 341374763830135, 149490421047061 @ -33, -130, -143
403601473423545, 204268229526283, 480839892901015 @ -174, 122, -356
291834827935600, 322874585111025, 158269755627793 @ -49, -61, 127
253730175672846, 326047341671427, 190304174192975 @ 82, -84, 110
263151598075354, 57547992281879, 85771947104399 @ 74, 334, 330
303231822528039, 275749134588802, 271946323323279 @ -12, 11, -28
261837800819496, 285447101185527, 147836488267875 @ 9, 159, 74
450229529237689, 313611848911549, 486309351365235 @ -196, -76, -256
281850315059842, 129115994258615, 261213133054127 @ 38, 254, 26
215853428865826, 374285877232737, 106190516740645 @ 166, -191, 295
503449861754926, 498554553588622, 418882657979630 @ -151, -271, -9
241542185075904, 331347394558779, 66155499560023 @ 121, 27, 913
340060348324663, 236724521224551, 247804427047924 @ -60, 62, 55
196027988526796, 248652039003552, 199242281281075 @ 191, 51, 128
260389165046674, 338690008699137, 185115141618877 @ 16, -109, -115
297990357270321, 311627862259657, 283517897107000 @ -8, -56, -71
325199403013616, 264959457134367, 243477749644035 @ -36, 15, 60
260931965951956, 260274188688137, 246520065341675 @ 71, 40, 24
286839132009222, 386525921454075, 136431396969621 @ -24, -252, 203
263488808940704, 189320125470457, 204757757998753 @ 15, 541, -143
239858503903404, 369812598864231, 144205634939216 @ 111, -162, 237
238196250479644, 182485978873235, 317070387620653 @ 113, 112, -5
374256575475677, 109621519366703, 213208447306259 @ -26, 118, 192
289078754054040, 102797683723711, 415764655948499 @ 51, 170, -72
233880463220068, 188291460668261, 276171875568949 @ 119, 100, 58
411933170686317, 196635902163769, 351267598896285 @ -104, 64, -6
302893589409214, 360815478029619, 418215691562269 @ -19, -158, -354
384609211648624, 235883584663839, 457744850312695 @ -41, -6, -66
296943732614377, 106967526928125, 327650344628338 @ 54, 112, 85
299831864358349, 360722636914245, 478483406356870 @ 36, -140, -161
224377820626072, 175255721588291, 322044547000835 @ 143, 215, -136
499659429913972, 342562897499399, 308265872742123 @ -250, -118, 18
264636856220050, 280346704965621, 116944456972273 @ -54, 315, 197
305734321192086, 361720019596967, 381777194737070 @ -123, -194, -711
296633005285704, 253968496690603, 285284861569927 @ 19, 25, 7
415594794400624, 262347397349352, 478498160286540 @ -61, -39, -61
234411361688920, 154873380802951, 355923330065043 @ 116, 95, 17
343148606448178, 263914544788056, 204737319178552 @ -171, 95, 21
371567867690565, 286574038930906, 353408679724646 @ -56, -47, -13
277298149164158, 272076348975807, 249183838786636 @ 45, 6, 43
20888424739976, 29606528375159, 92775330247643 @ 367, 250, 315
304844216465728, 187168401319443, 225257536639591 @ 39, 52, 170
260951580237791, 247055802287355, 135879225042429 @ 42, 210, 186
254797331769140, 312985720389608, 157943908670195 @ -89, 307, -576
255219595170682, 249491787285166, 46938065282987 @ 53, 265, 536
297355797548284, 224470808024295, 255758071566051 @ 44, 18, 128
191030674818033, 280542917328500, 122941177354179 @ 186, -23, 272
