Card   1: 99 46 62 92 60 37 52 56 41 31 | 83 40 31 33 46  3 10 39 82  8 64 35  5 63 60 72 48 87 11 81 95 34 97 37 99
Card   2: 98 96 50 60  7 40 83 93 55 26 | 45 38 47 98 32 50 55 35 93 11 97 53 74 83 99 60 73 56 40 58 96 66 90 26  7
Card   3: 82  8 12 15 53 23 29 61  5 21 | 21 73  5 65 44 29 61 97 15  4 90 76 53 91 13 27  9 11  2 75 22 92 95 82 86
Card   4: 68 22 77 52 23 60 57 31 74 38 | 22 38 68 79 52 23 40 57 10 74 31 83 24 60 95 17 78 89 39 37 87 26 77 63 54
Card   5: 94 23 38 14 31 47  8 15 19 79 | 94 45 21 70 43 95 79 38 19 67 24 62 71 84 14 87 63 47 36 26  8 66 31 15 23
Card   6: 37 56 14 26 46 19 58 99 41 55 | 95 25 39 19 26 99 21 11 56 46  3 53 33 36  4 15 55 28 58 37 14 50 94 49 44
Card   7: 68 13 44 81 92 43  9 78 85 62 | 19  8 91 71 76 54 72 87 68 16 46 94 92 63 62 67 28 84 18 88 24 14 37 30 81
Card   8: 73 86 24 66 38 95 71 90 88 22 | 44 88 30 24 97 34 99 66 94 26 86 90 52 55 84  7 78 40 71 73 50 95 61 38 22
Card   9: 98 71 24 85 11 74 22 35 65 59 | 18 43 54 36 71 86 22  7 85 78 46  6 77 62 38 98 83 65 88 37 84 70 72 59 23
Card  10:  5 87 77 60 62 86 42 33 43 76 | 86 19 26 77  5 60 21 34 44 76 33 85 78 67 79 13 18 42 87 59 54 43 62 65 16
Card  11: 55 61 40 88 59 58 62 42  9 71 | 83 97 25 49 30 76 82 39 98  5 91 58 38 44  6 90 55 14 62 16 93 15 68 42 70
Card  12: 15 25 80 89 26 44 17 56 82 70 | 29 25 15 33 95 89 85 98 82 66 62 38 97 71 26 70 49 64 57 17 35 56 44 46 72
Card  13: 72 99 42 47 10 66 17 53 49 57 | 66 89 64 88  1 95 42 53 72 57 83 12 49 21 44 17 24 79 73 10 90 47 82 87 99
Card  14: 36 26 75 45 39 10 73  4 52 97 | 17 72 26  4 90 30 10 43 59 64 14 41 34 82 37 25 27 99 32 73 45 75 36 39 93
Card  15: 79 15 53 44 50 57 99 55 61 59 |  5 39  6 15 41  4 94 85 13 58 60 24 36 46 57 33  8 30 25 51 22 38 92 79 16
Card  16:  1 46 37 33 53 23 83 40 95 57 | 12 60 26 36 22 69 68 86 83 42 53 70 63  5 84 29 75 19 61 55 74  9 32 44 73
Card  17: 33 17 50 35 39 95 22 67 76 47 | 44 55 21  3  2  5 51 26 89 39 98 92 29 93 78 42 66 19 28 31 97 81 53 52 86
Card  18: 64 15 40 93 58 22  2 53 30 92 | 64 42 72 39 60 29 10 80 70 91 78 79 37  2 48  3 47 32 30 76 84 11 96 18 23
Card  19: 97 95 42 67 18 69 54 94 10  5 | 22 45 23 35 92  2 75 21  9 68 51 59 25 27 84 28 89 61 76 63 65 14 43  8 13
Card  20: 69 87  4 30 13 63 74 23 83 14 | 26 19 32 64 88 39 25 53 16 48 41 89 22 14 15 83 20 43 59 92 90  5 75 38 37
Card  21: 67 33 16 11 42 10 27 46 72 37 | 52 87 92  8 91 66 38 80 86 35 54  6 72  4 99 25 70 16 55 75 57 30 44 69 45
Card  22: 27 82 94 86 50 91 21 70 14 76 | 10 60 59 35 51 71 34 44 93 28 46 27 12 84 75 74  1 39 79 53 86 37  4 99  8
Card  23: 95 97 54 38 34 16 15  2 64  6 | 96 74 69 62 35 28 88 30 48 84 99 73 43 21 89 24  1 13 58 71  5 19 72 47 12
